ID,Parent_SMILES,Value
1,CC(N(C)N1c(cc2)ccc2F)=C(C(Nc(cc2)cc(F)c2Oc2c(c(-c3ccccc3)c[nH]3)c3ncc2)=O)C1=O,5.283592603
2,Cc(c(NC(OC[C@H]1NCCOC1)=O)c1)c2n1ncnc2Nc(cc1)cc2c1n(Cc1cccc(F)c1)nc2,4.906016535
3,CC(C)Oc(cc(C1CCNCC1)c(C)c1)c1Nc(nc1)nc(Nc(cccc2)c2S(C(C)C)(=O)=O)c1Cl,4.522878745
4,CCN1CCN(Cc(cc2)ccc2-c([nH]2)cc3c2ncnc3N[C@H](C)c2ccccc2)CC1,6.387782489
5,CC(C)(C)n1nnc(C(N[C@H](CCN(C2)C3COC3)c(cc3)c2cc3-c2nc(Nc3cn(C)nc3)ncc2)=O)c1,8.501716659
6,Cc1c(/C=C(/c(cc(cc2)S(Cc(c(Cl)ccc3)c3Cl)(=O)=O)c2N2)\C2=O)[nH]c(C)c1C(N1[C@@H](CN2CCCC2)CCC1)=O,4.522878745
7,C(CNCC1)C1Nc1nc(-c2cnc3n2cccc3)ccc1,6.22264619
8,CN(CC1)CCN1c(cc1)ccc1C(Nc1n[nH]c(-c2cccc(NS(c3ccccc3)(=O)=O)c2)c1)=O,5.158080548
9,COc(cc(c1c2)nccc1Oc(cc1)cc(Cl)c1NC(NC1CC1)=O)c2C(N)=O,5.124185189
10,CN(C)CCCn1c(ccc(OC)c2)c2c(C(C(N2)=O)=C(c3c[nH]c4c3cccc4)C2=O)c1,4.522878745
11,Cc(c(Nc1nc(-c2cnccc2)ccn1)c1)ncc1NC(c1cc(C(F)(F)F)c(CN2CCN(C)CC2)cc1)=O,5.315462422
12,CN(CC1)CCN1c(cc1)ccc1Nc1nc(N(Cc(cc2)ccc2NC(C=C)=O)C(N(C2)c3cc(OC)cc(OC)c3)=O)c2cn1,8.254569971
13,CCN(CCCOc1cc2ncnc(Nc3n[nH]c(CC(Nc4cc(F)ccc4)=O)c3)c2cc1)CCOP(O)(O)=O,5.176707618
14,N[C@@H](CCCC1)[C@@H]1Nc(nc1)nc(Nc2cc(-n3nccn3)ccc2)c1C(N)=O,6.560030676
15,CNS(C[C@H](CC1)CC[C@@H]1N(C)c1ncnc2c1cc[nH]2)(=O)=O,4.522878745
16,CCCCNc1ncc(c(-c2ccc(CN3CCN(C)CC3)cc2)cn2[C@H](CC3)CC[C@@H]3O)c2n1,6.740451421
17,Nc1c(c(COc2cccc(Cl)c2)nn2C3CCOCC3)c2ncn1,4.978029126
18,CC(C)CN(CC(C)C)CC(N1CCN(CC(c(ccc(Cl)c2)c2Cl)OCc2cc3ccccc3cc2)CC1)=O,1
19,COc(c(O)c(c(OC(c(cc1)ccc1O)=C1)c2)C1=O)c2O,5.149792546
20,CN(CC1)CCN1c(cc1)ccc1Nc1ncc(C=C(C(N2C3CCCC3)=O)C#N)c2n1,5.056123382
21,CN(C)S(c(cccc1)c1Nc(nc(Nc1ccc(CN2CCN(C)CC2)cc1)nc1)c1Cl)(=O)=O,6.407431019
22,C=CC(Nc(cc12)ccc2ncnc1Nc1cccc(Br)c1)=O,6.288454936
23,CC(C)(C)c(cc1)ccc1C(Nc1cccc(C(N=C2Nc(cc3)ccc3C(N3CCOCC3)=O)=CN(C)C2=O)c1C)=O,7.971052087
24,Cc(cc1)cc(NC(C=C)=O)c1Nc1c(C(F)(F)F)cnc(Nc2c(C)cnc(OC)c2)n1,1
25,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc(c4c(cc5)OCO4)c5Cl)ncnc3c2)CC1,6.793263398
26,CN(CC1)CCN1c(cc1)cc(OC)c1Nc(nc1)nc(Oc2cc(NC(C=C)=O)ccc2)c1Cl,8.051821241
27,CC(C)S(c(cc1)ccc1-c1nc(-c2cc(-c3ccc(CNC)cc3)no2)c(N)nc1)(=O)=O,4.522878745
28,CCNC(C#Cc(cc1)cc(NC2=O)c1/C2=C(\c1ccccc1)/Nc1ccc(CN(C)C)cc1)=O,7.847312926
29,CN(C)Cc1cccc(N/C(/c2ccccc2)=C(/c(ccc(C(N(C)C)=O)c2)c2N2)\C2=O)c1,5.389809755
30,Nc1c(C(Nc(cc2)ccc2F)N=N2)c2ncn1,5.200882247
31,CN1CCC(COc(cc(c2c3)ncnc2Nc(cc(cc2)OC)c2Cl)c3OC)CC1,6.021187588
32,O=S(c1cccc2cnccc12)(N1CCNCCC1)=O,1
